Name,Rating,Release_date,Genres,Director_name,Runtime,URL
Sonic the Hedgehog 2,77.0,04/08/2022,"Action,ScienceFiction,Comedy,Family,Adventure",Jeff Fowler,2h 2m,https://themoviedb.org/movie/675353
Uncharted,72.0,02/18/2022,"Action,Adventure",Ruben Fleischer,1h 56m,https://themoviedb.org/movie/335787
The Batman,78.0,03/04/2022,"Crime,Mystery,Thriller",Matt Reeves,2h 56m,https://themoviedb.org/movie/414906
Doctor Strange in the Multiverse of Madness,76.0,05/06/2022,"Fantasy,Action,Adventure",Sam Raimi,2h 6m,https://themoviedb.org/movie/453395
Spider-Man: No Way Home,81.0,12/17/2021,"Action,Adventure,ScienceFiction",Jon Watts,2h 28m,https://themoviedb.org/movie/634649
Ambulance,70.0,04/08/2022,"Action,Thriller,Crime",Michael Bay,2h 16m,https://themoviedb.org/movie/763285
Turning Red,74.0,03/10/2022,"Animation,Family,Comedy,Fantasy",Domee Shi,1h 40m,https://themoviedb.org/movie/508947
The Bad Guys,78.0,04/22/2022,"Animation,Comedy,Action,Family,Crime",Pierre Perifel,1h 40m,https://themoviedb.org/movie/629542
365 Days: This Day,57.0,04/27/2022,"Romance,Drama","Tomasz Mandes,Barbara Bialowas",1h 51m,https://themoviedb.org/movie/829557
Virus:32,67.0,04/21/2022,Horror,Gustavo Hernández,1h 30m,https://themoviedb.org/movie/893370
Doctor Strange,74.0,11/04/2016,"Action,Adventure,Fantasy,ScienceFiction",Scott Derrickson,1h 55m,https://themoviedb.org/movie/284052
The Outfit,70.0,03/18/2022,"Drama,Thriller,Crime",Graham Moore,1h 45m,https://themoviedb.org/movie/799876
Moonfall,65.0,02/04/2022,"ScienceFiction,Adventure,Action",Roland Emmerich,2h 10m,https://themoviedb.org/movie/406759
Encanto,77.0,11/24/2021,"Animation,Comedy,Family,Fantasy","Jared Bush,Byron Howard",1h 42m,https://themoviedb.org/movie/568124
¡Qué despadre!,81.0,02/09/2022,"Comedy,Family,Romance",Pedro Pablo Ibarra,1h 39m,https://themoviedb.org/movie/937337
Yaksha: Ruthless Operations,62.0,04/08/2022,Action,Na Hyun,2h 5m,https://themoviedb.org/movie/606402
All the Old Knives,60.0,04/08/2022,"Thriller,Action",Janus Metz Pedersen,1h 42m,https://themoviedb.org/movie/294793
Hotel Transylvania: Transformania,71.0,02/25/2022,"Animation,Family,Fantasy,Comedy,Adventure","Jennifer Kluska,Derek Drymon",1h 27m,https://themoviedb.org/movie/585083
Blacklight,62.0,02/10/2022,"Action,Thriller",Mark Williams,1h 44m,https://themoviedb.org/movie/823625
The Grandmother,60.0,01/28/2022,Horror,Paco Plaza,1h 40m,https://themoviedb.org/movie/661791
The Adam Project,70.0,03/11/2022,"Action,Adventure,Comedy,ScienceFiction",Shawn Levy,1h 46m,https://themoviedb.org/movie/696806
